2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
0.0991866,0.1093207,0.1205353,0.1242553,0.1427231,0.1459163,Golfito,Puntarenas,Pilar empresarial
0.1657043,0.2003931,0.1522535,0.1727526,0.1610965,0.1567136,Montes de Oro,Puntarenas,Pilar empresarial
0.1059575,0.1219659,0.1056249,0.1432431,0.1591293,0.1372267,Osa,Puntarenas,Pilar empresarial
0.1405286,0.1540242,0.1379046,0.1620868,0.1698575,0.1552414,Parrita,Puntarenas,Pilar empresarial
0.2852476,0.3064832,0.3023512,0.2777962,0.2660311,0.2661217,Puntarenas,Puntarenas,Pilar empresarial
0.0807974,0.0925951,0.0879263,0.1013397,0.1125096,0.0881625,Acosta,San José,Pilar empresarial
0.1101478,0.1237294,0.1271204,0.1458017,0.120503,0.1285563,Alajuelita,San José,Pilar empresarial
0.0887541,0.1034061,0.1196262,0.1180431,0.0910955,0.1136836,Aserrí,San José,Pilar empresarial
0.7990479,0.7355305,0.7119055,0.7460778,0.7842594,0.7073733,Curridabat,San José,Pilar empresarial
0.3448892,0.3614224,0.3193555,0.3256655,0.3205166,0.3442872,Desamparados,San José,Pilar empresarial
0.0628785,0.0739559,0.0947068,0.0850896,0.0903155,0.101598,Dota,San José,Pilar empresarial
0.5854725,0.5831571,0.6162406,0.6039147,0.638006,0.6164666,Escazú,San José,Pilar empresarial
0.5439041,0.5332653,0.5137307,0.4988951,0.5132679,0.4924765,Goicoechea,San José,Pilar empresarial
0.008675,0.018868,5e-05,0.0287267,0.0329143,0.0014664,León Cortés,San José,Pilar empresarial
0.6647782,0.6450578,0.6725066,0.6581277,0.6846128,0.6545814,Montes de Oca,San José,Pilar empresarial
0.254272,0.2723571,0.237768,0.281865,0.2806024,0.281134,Mora,San José,Pilar empresarial
0.4655918,0.4744314,0.457658,0.4502675,0.4378099,0.4324152,Moravia,San José,Pilar empresarial
0.2446052,0.2585934,0.2524676,0.2554572,0.252182,0.2631963,Pérez Zeledón,San José,Pilar empresarial
0.1574523,0.1547844,0.1354804,0.1694537,0.1999346,0.2142274,Puriscal,San José,Pilar empresarial
1,1,1,1,1,1,San José,San José,Pilar empresarial
0.4449667,0.469073,0.4632826,0.4832609,0.5143338,0.5210976,Santa Ana,San José,Pilar empresarial
0.1241269,0.1432256,0.1276879,0.1561724,0.1560835,0.1177772,Tarrazú,San José,Pilar empresarial
0.6830081,0.7101877,0.6665533,0.6579384,0.66012,0.6214351,Tibás,San José,Pilar empresarial
5e-05,5e-05,0.0363535,5e-05,5e-05,5e-05,Turrubares,San José,Pilar empresarial
0.2895766,0.2999405,0.2773291,0.3215607,0.3298926,0.2757012,Vázquez de Coronado,San José,Pilar empresarial
