2006;2007;2008;2009;2010;2011;Cantón;Provincia;Variables
0,097561;0,1388889;0,0266667;0,047619;0,0816327;0,0888889;Buenos Aires;Puntarenas;Porcentaje de empresas exportadoras
0,1162791;0,2;0,1574074;0,0833333;0,0792079;0,0925926;Corredores;Puntarenas;Porcentaje de empresas exportadoras
0,0285714;0,045045;0,0178571;0,0096154;0,0353982;0,0390625;Coto Brus;Puntarenas;Porcentaje de empresas exportadoras
0,0416667;0,0425532;0,0447761;0,0487805;0,0444444;0,0697674;Esparza;Puntarenas;Porcentaje de empresas exportadoras
0,0454545;0,0540541;0,0076923;0;0;0;Garabito;Puntarenas;Porcentaje de empresas exportadoras
0,0114943;0,0100503;0,0163934;0,010101;0,008658;0,0098522;Golfito;Puntarenas;Porcentaje de empresas exportadoras
0,137931;0,1515152;0,15;0,1111111;0,1111111;0,0857143;Montes de Oro;Puntarenas;Porcentaje de empresas exportadoras
0,0275229;0,0406504;0,0277778;0,0403226;0,0201342;0,037037;Osa;Puntarenas;Porcentaje de empresas exportadoras
0,0666667;0,0705882;0,0619469;0,0638298;0,0645161;0,0645161;Parrita;Puntarenas;Porcentaje de empresas exportadoras
0,0829146;0,0997375;0,0888252;0,0632318;0,0689655;0,0960591;Puntarenas;Puntarenas;Porcentaje de empresas exportadoras
0,05;0,0697674;0,0882353;0,0545455;0,0408163;0,0588235;Acosta;San José;Porcentaje de empresas exportadoras
0,1428571;0,173913;0,2380952;0,2083333;0,173913;0,125;Alajuelita;San José;Porcentaje de empresas exportadoras
0,131579;0,1714286;0,28125;0,1590909;0,0869565;0,0869565;Aserrí;San José;Porcentaje de empresas exportadoras
0,7583333;0,704918;0,5477707;0,540146;0,6569343;0,6405229;Curridabat;San José;Porcentaje de empresas exportadoras
0,3821138;0,4206349;0,3088235;0,2317881;0,2264151;0,2675159;Desamparados;San José;Porcentaje de empresas exportadoras
0,0227273;0,025;0,0487805;0,05;0,0555556;0,0416667;Dota;San José;Porcentaje de empresas exportadoras
0,5555556;0,5082873;0,4921466;0,4372093;0,4741379;0,5081967;Escazú;San José;Porcentaje de empresas exportadoras
0,511236;0,4636872;0,4054054;0,3076923;0,3816425;0,3902439;Goicoechea;San José;Porcentaje de empresas exportadoras
0;0;0;0;0;0;León Cortés;San José;Porcentaje de empresas exportadoras
0,4571429;0,4230769;0,5067568;0,3901099;0,4081633;0,4816754;Montes de Oca;San José;Porcentaje de empresas exportadoras
0,1914894;0,2156863;0,1285714;0,1428571;0,122807;0,1320755;Mora;San José;Porcentaje de empresas exportadoras
0,5294118;0,5697674;0,5047619;0,4255319;0,3962264;0,4807692;Moravia;San José;Porcentaje de empresas exportadoras
0,0675676;0,0776256;0,0461538;0,0420168;0,0547445;0,0638298;Pérez Zeledón;San José;Porcentaje de empresas exportadoras
0,0657895;0,0506329;0,0266667;0,0210526;0,04;0,038835;Puriscal;San José;Porcentaje de empresas exportadoras
0,5992063;0,5905882;0,5159141;0,4815094;0,5366043;0,5932204;San José;San José;Porcentaje de empresas exportadoras
0,4786325;0,4732825;0,4054054;0,4379562;0,4929577;0,5862069;Santa Ana;San José;Porcentaje de empresas exportadoras
0,0131579;0,012987;0,0215054;0,0384615;0,0246914;0,0232558;Tarrazú;San José;Porcentaje de empresas exportadoras
0,6666667;0,675;0,5932204;0,4608696;0,5;0,6017699;Tibás;San José;Porcentaje de empresas exportadoras
0;0;0,1111111;0;0;0,0666667;Turrubares;San José;Porcentaje de empresas exportadoras
0,2678571;0,2909091;0,2179487;0,2580645;0,2647059;0,1549296;Vázquez de Coronado;San José;Porcentaje de empresas exportadoras
