2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
303.6242,303.6242,303.6242,324.1132,344.6022,326.5176,Puntarenas,Puntarenas,Índice de concentración de actividades
726.6436,726.6436,726.6436,652.578,578.5124,673.8281,Acosta,San José,Índice de concentración de actividades
648.7889,648.7889,648.7889,686.0442,723.2995,495.1523,Alajuelita,San José,Índice de concentración de actividades
789.0418,789.0418,789.0418,755.2462,721.4506,501.997,Aserrí,San José,Índice de concentración de actividades
197.8485,197.8485,197.8485,200.4963,203.144,197.4382,Curridabat,San José,Índice de concentración de actividades
276.7868,276.7868,276.7868,278.1368,279.4868,220.8372,Desamparados,San José,Índice de concentración de actividades
910.1725,910.1725,910.1725,850.4944,790.8163,702.9479,Dota,San José,Índice de concentración de actividades
244.0959,244.0959,244.0959,243.1226,242.1494,217.5782,Escazú,San José,Índice de concentración de actividades
213.4833,213.4833,213.4833,220.1727,226.8621,199.9879,Goicoechea,San José,Índice de concentración de actividades
1658.163,1658.163,1658.163,1627.693,1597.222,3388.823,León Cortés,San José,Índice de concentración de actividades
239.2928,239.2928,239.2928,239.1878,239.0827,232.3645,Montes de Oca,San José,Índice de concentración de actividades
338.2265,338.2265,338.2265,324.2411,310.2557,256.64,Mora,San José,Índice de concentración de actividades
268.1521,268.1521,268.1521,271.3409,274.5297,256.4421,Moravia,San José,Índice de concentración de actividades
312.2533,312.2533,312.2533,316.4924,320.7316,265.5014,Pérez Zeledón,San José,Índice de concentración de actividades
461.0341,461.0341,461.0341,408.4684,355.9028,280.2571,Puriscal,San José,Índice de concentración de actividades
222.9722,222.9722,222.9722,227.5367,232.1012,184.5727,San José,San José,Índice de concentración de actividades
268.1727,268.1727,268.1727,258.6971,249.2215,212.7309,Santa Ana,San José,Índice de concentración de actividades
1120.746,1120.746,1120.746,1051.608,982.4689,1447.123,Tarrazú,San José,Índice de concentración de actividades
211.9991,211.9991,211.9991,211.8852,211.7714,201.0121,Tibás,San José,Índice de concentración de actividades
1388.889,1388.889,1388.889,1494.444,1600,3730.469,Turrubares,San José,Índice de concentración de actividades
301.9227,301.9227,301.9227,291.9076,281.8925,258.433,Vázquez de Coronado,San José,Índice de concentración de actividades
