2006;2007;2008;2009;2010;2011;Cantón;Provincia;Variables
0,1108139;0,0123695;-0,0006361;-0,1078886;0,0372327;-0,029642;Limón;Limón;Tasa de crecimiento del consumo eléctrico total
0,0628899;0,0507834;0,0297583;-0,0301453;0,0324691;0,0032003;Matina;Limón;Tasa de crecimiento del consumo eléctrico total
0,1565283;0,0774345;0,0288404;-0,075594;0,0585366;0,0330606;Pococí;Limón;Tasa de crecimiento del consumo eléctrico total
0,0498595;0,0246706;0,1178398;0,0088825;0,0512825;0,0554358;Siquirres;Limón;Tasa de crecimiento del consumo eléctrico total
0,0850391;0,0793216;0,0211558;-0,039745;0,0893546;0,0131054;Talamanca;Limón;Tasa de crecimiento del consumo eléctrico total
0,10444;0,0909922;0,0425099;-0,0045525;-0,0703252;-0,0065609;Aguirre;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,1051664;0,0643193;0,0114744;0,0656895;0,0435069;-0,003272;Buenos Aires;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,0788912;-0,1192503;0,0179759;0,0618803;0,0294209;0,0021664;Corredores;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,0401008;0,0225145;-0,0164855;0,0410708;0,0280939;0,0213692;Coto Brus;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,0707987;0,0103704;0,0137909;-0,0651514;-0,1110943;0,0311937;Esparza;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,1953207;0,1737915;0,0496676;0,0180292;0,018012;-0,0782449;Garabito;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,037235;0,2151787;0,0802772;-0,0106798;0,0186485;-0,0051309;Golfito;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,3379479;-0,0224951;-0,3682797;0,0195598;0,031985;0,0193828;Montes de Oro;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,093896;0,0740844;0,0590894;0,0298516;0,0111778;-0,0089726;Osa;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,133807;0,0968825;-0,0112971;0,0496434;-0,0273281;-0,0607014;Parrita;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,0388543;0,0386705;0,0213032;-0,0049886;0,0259553;-0,0068263;Puntarenas;Puntarenas;Tasa de crecimiento del consumo eléctrico total
0,0678208;0,0281754;0,025077;-0,0152283;0,035898;0,0260312;Acosta;San José;Tasa de crecimiento del consumo eléctrico total
0,0369695;0,0433412;-0,0058599;-0,0250854;-0,0044817;0,0012597;Alajuelita;San José;Tasa de crecimiento del consumo eléctrico total
0,0104245;0,0188483;0,0169533;-0,0120413;0,0254478;0,0031094;Aserrí;San José;Tasa de crecimiento del consumo eléctrico total
0,0553722;0,0270746;0,0307768;-0,0145263;0,012418;0,0012597;Curridabat;San José;Tasa de crecimiento del consumo eléctrico total
0,0343407;0,0126748;0,0166814;-0,0031467;0,0105817;0,0014994;Desamparados;San José;Tasa de crecimiento del consumo eléctrico total
-0,9567762;0,0213858;0,0148414;-0,0660608;0,0720758;0,0059396;Dota;San José;Tasa de crecimiento del consumo eléctrico total
0,0598481;0,0912874;0,1826013;0,0191481;0,047678;-0,0031838;Escazú;San José;Tasa de crecimiento del consumo eléctrico total
-0,0429599;0,0128184;0,0219249;-0,0077595;0,0191365;0,0012597;Goicoechea;San José;Tasa de crecimiento del consumo eléctrico total
0,0244775;0,1535207;-0,0579646;0,1427501;-0,3048299;-0,5118317;León Cortés;San José;Tasa de crecimiento del consumo eléctrico total
0,0210977;0,0025815;0,0082817;-0,0074491;0,0107348;0,0012597;Montes de Oca;San José;Tasa de crecimiento del consumo eléctrico total
0,0723674;0,0506715;0,044551;0,0022945;0,044116;0,0081064;Mora;San José;Tasa de crecimiento del consumo eléctrico total
0,0512181;0,0098323;0,0288919;-0,0172689;0,0156249;0,0012597;Moravia;San José;Tasa de crecimiento del consumo eléctrico total
0,0739307;0,0711099;0,0202611;-0,013939;0,0206193;0,0085463;Pérez Zeledón;San José;Tasa de crecimiento del consumo eléctrico total
0,031805;0,0577452;0,0302312;0,0004167;0,0491084;0,0287949;Puriscal;San José;Tasa de crecimiento del consumo eléctrico total
0,0285022;0,0191843;0,008523;-0,0279537;0,0034243;0,0012597;San José;San José;Tasa de crecimiento del consumo eléctrico total
0,101566;0,0256635;0,0765241;0,0229894;0,0198907;0,0012597;Santa Ana;San José;Tasa de crecimiento del consumo eléctrico total
-0,0015606;0,1364057;0,1249402;-0,1307511;0,0605235;0,0027353;Tarrazú;San José;Tasa de crecimiento del consumo eléctrico total
0,022536;0,0183637;-0,0038371;-0,0568696;-0,0050869;0,002582;Tibás;San José;Tasa de crecimiento del consumo eléctrico total
0,0425408;0,0397865;0,0576393;0,0863103;0,1236908;-0,0343508;Turrubares;San José;Tasa de crecimiento del consumo eléctrico total
0,0234647;0,0113022;0,0096296;-0,0029168;0,0237763;0,0012597;Vázquez de Coronado;San José;Tasa de crecimiento del consumo eléctrico total
