2006;2007;2008;2009;2010;2011;Cantón;Provincia;Variables
5848,239;4725,934;899,147;110,7778;138,9235;113,8429;Montes de Oro;Puntarenas;Exportaciones totales por trabajador
173,5716;149,6314;68,30744;31,70003;35,96624;78,257;Osa;Puntarenas;Exportaciones totales por trabajador
3221,177;3287,584;3261,674;2144,547;2856,242;1186,307;Parrita;Puntarenas;Exportaciones totales por trabajador
3341,119;4087,29;3366,546;1404,824;1745,18;2337,025;Puntarenas;Puntarenas;Exportaciones totales por trabajador
37,15692;118,0987;148,696;164,8973;148,16;161,045;Acosta;San José;Exportaciones totales por trabajador
57,77282;71,51092;52,94875;39,15958;38,44324;34,83861;Alajuelita;San José;Exportaciones totales por trabajador
1587,705;1719,518;1654,979;1437,096;1601,683;743,9918;Aserrí;San José;Exportaciones totales por trabajador
1175,86;1444,24;1466,511;1092,376;1954,399;2029,368;Curridabat;San José;Exportaciones totales por trabajador
57,70279;91,44221;93,02344;61,06914;72,91428;86,48582;Desamparados;San José;Exportaciones totales por trabajador
11,9025;2,24715;129,5493;59,56635;7,93336;10,48187;Dota;San José;Exportaciones totales por trabajador
1535,754;1734,366;3288,538;1951,532;2365,81;2480,868;Escazú;San José;Exportaciones totales por trabajador
1944,651;2101,262;2035,677;2364,45;2485,353;2674,755;Goicoechea;San José;Exportaciones totales por trabajador
0;0;0;0;0;0;León Cortés;San José;Exportaciones totales por trabajador
1760,877;2039,512;2341,399;1986,252;1679,115;2394,201;Montes de Oca;San José;Exportaciones totales por trabajador
403,2381;498,7737;534,2518;360,3867;368,2343;397,7758;Mora;San José;Exportaciones totales por trabajador
520,3359;711,9246;746,0251;399,0836;562,9913;684,0483;Moravia;San José;Exportaciones totales por trabajador
230,4549;291,8994;275,0146;190,4305;97,13747;94,57295;Pérez Zeledón;San José;Exportaciones totales por trabajador
25,83274;60,35608;51,85654;15,30469;20,85645;26,66243;Puriscal;San José;Exportaciones totales por trabajador
4788,318;5476,971;6015,293;5632,894;5099,409;5614,477;San José;San José;Exportaciones totales por trabajador
7644,964;6541,432;6033,938;4462,942;5708,332;6626,932;Santa Ana;San José;Exportaciones totales por trabajador
0,4050547;0,8041275;1,414524;1,1916;0,4712431;81,69338;Tarrazú;San José;Exportaciones totales por trabajador
3119,976;3331,514;2983,858;2412,984;3145,99;4303,884;Tibás;San José;Exportaciones totales por trabajador
0;0;16,58468;0;0;0,3605408;Turrubares;San José;Exportaciones totales por trabajador
290,558;166,4671;67,37619;28,21989;46,54742;28,80727;Vázquez de Coronado;San José;Exportaciones totales por trabajador
